Property_Title,Location,Address,Price,Rate_per_sqft,Deposit,Property_Type,Room_Type,Bedrooms,Bathrooms,Balconies,Furnishing,Carpet_Area,Available_From,Available_For,Posted_By,Posted_Date,Rating,Nearby_Places,Scraped_Date
"3BHK3BathsIndependent/Builder Floor for Rentin Defence Colony, South Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyCorner PropertyVitrified FlooringView 7 More Wheel Chair FriendlyVisitor Parking AvailableOn-,₹ 3,₹0,N/A,Independent,N/A,3,3,2,Semi-Furnished,2853 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:04:17
"3BHK3BathsIndependent/Builder Floor for Rentin Block C Defence Colony, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block C Defence Colony Delhi - 2000 Sq. Ft.- 3rd floor (out of 4),₹ 2.5,₹0,N/A,Independent,N/A,3,3,N/A,Semi-Furnished,2000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:04:30
"4BHK4BathsIndependent/Builder Floor for Rentin c2 block Janakpuri , Janakpuri, West Delhi","Paschim Vihar, DelhiEnquire NowContact NowVerifiedSandeep Kumar (Dealer) 28th Se",SocietyMarble FlooringVisitor Parking AvailableView 5 More On-Call Maintenance StaffFeng Shui/ Vaast,"₹ 71,000",N/A,"₹ 1,42,000",Independent,N/A,4,4,2,Semi-Furnished,2025 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:04:43
"5Bedrooms6BathsFarm House for Rentin Bandh Road, South Delhi, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Bandh Road, South Delhi, DelhiShekhawat PropertiesNarender ShekhawatFEATURED DEALE",₹ 17,N/A,N/A,Apartment/Flat,N/A,5,6,N/A,Furnished,43560 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:04:56
"5Bedrooms6BathsFarm House for Rentin Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Vasant Kunj, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERMember Since Aug, 2",₹ 6,N/A,"₹ 18,00,000",Apartment/Flat,N/A,5,6,N/A,Furnished,9000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:05:06
"4BHK4BathsIndependent/Builder Floor for Rentin 478 yards brand new floor 4bhk, South Extension 2, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",RWA (+250)BLM (+590)SHN (+290)KNA (+1869)LCA (+1758)MAF (+1599)SPM (+508)VCT (+1784)WSM (+685)SMR (+,₹ 2.5,N/A,N/A,Independent,N/A,4,4,3,Semi-Furnished,4302 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:05:16
"4BHK5BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 2500 Sq. Ft.- 11th floor (out of 26),₹ 1.25,₹0,"₹ 2,60,000",Apartment/Flat,N/A,4,5,N/A,Semi-Furnished,2500 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:05:29
"3BHK2BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1580 Sq. Ft.- 16th floor (out of 30),"₹ 57,000",₹0,"₹ 1,10,000",Apartment/Flat,N/A,3,2,3,Furnished,1580 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:05:42
"2BHK2BathsIndependent/Builder Floor for Rentin Defence Colony, South Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyNatural LightAiry RoomsSpacious InteriorsParking AvailableModular KitchenFitness Center/ GymC,₹ 2.5,₹0,N/A,Independent,N/A,2,2,1,Furnished,1400 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:05:56
"1RK1BathStudio Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharStudio Apartments for rent in Tagore GardenStudio Apartments for re,Flat Flats for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 361 Sq. Ft.- 2nd floor (out of ,"₹ 26,000",₹0,N/A,Apartment/Flat,N/A,1,1,N/A,Furnished,361 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:06:05
"3BHK3BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1580 Sq. Ft.- 4th floor (out of 26),"₹ 53,000",₹0,"₹ 1,10,000",Apartment/Flat,N/A,3,3,3,Furnished,1580 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:06:16
"3BHK2BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1753 Sq. Ft.- 13th floor (out of 26),"₹ 55,500",₹0,"₹ 1,11,000",Apartment/Flat,N/A,3,2,3,Furnished,1753 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:06:33
"3BHK3BathsFlat/Apartment for Rentin DLF One Midtown, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF One Midtown Moti Nagar Delhi - 2278 Sq. Ft.- 20th floor (out of 39),₹ 1.45,₹0,"₹ 2,90,000",Apartment/Flat,N/A,3,3,2,Furnished,2278 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:06:46
"3BHK2BathsFlat/Apartment for Rentin DDA Flats Sarita Vihar, Sarita Vihar, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Flats Sarita Vihar Sarita Vihar Delhi - 1800 Sq. Ft.- 2nd floor (out of 4),"₹ 41,000",₹0,"₹ 82,000",Apartment/Flat,N/A,3,2,2,Furnished,1800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:06:59
"3BHK2BathsIndependent/Builder Floor for Rentin Chattarpur, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyVitrified FlooringPet FriendlyView 6 More Visitor Parking AvailableOn-Call Maintenance StaffF,"₹ 32,000",₹0,"₹ 32,000",Independent,N/A,3,2,2,Semi-Furnished,1200 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:07:10
"3BHK2BathsFlat/Apartment for Rentin Saraswati Narmada Ganga Yamuna Apartment, Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Saraswati Narmada Ganga Yamuna Apartment Vasant Kunj Delhi - 1800 Sq. Ft.- 2nd floo,"₹ 65,000",₹0,"₹ 1,30,000",Apartment/Flat,N/A,3,2,3,Furnished,1800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:07:19
"3BHK3BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1753 Sq. Ft.- 16th floor (out of 26),"₹ 59,500",₹0,"₹ 1,19,000",Apartment/Flat,N/A,3,3,3,Furnished,1753 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:07:34
"3BHK3BathsIndependent/Builder Floor for Rentin Preet Vihar, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","Block C Preet Vihar,Block E Preet vihar,Block G Preet Vihar,Madhuban Enclave,Anand Vihar,P...MoreAbo","₹ 50,000",N/A,N/A,Independent,N/A,3,3,2,Semi-Furnished,1728 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:07:48
"4BHK3BathsFlat/Apartment for Rentin DDA Flats Sector C Pocket 2, Sector C Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Flats Sector C Pocket 2 Sector C Vasant Kunj Delhi - 2000 Sq. Ft.- 1st floor (o,"₹ 90,000",₹0,N/A,Apartment/Flat,N/A,4,3,3,Semi-Furnished,2000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:07:59
"3BHK3BathsIndependent/Builder Floor for Rentin Block A Defence Colony, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block A Defence Colony Delhi - 1600 Sq. Ft.- 4th floor (out of 4),₹ 1.6,₹0,N/A,Independent,N/A,3,3,3,Semi-Furnished,1600 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:08:11
"3BHK2BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1753 Sq. Ft.- 6th floor (out of 26),"₹ 55,000",₹0,"₹ 1,10,000",Apartment/Flat,N/A,3,2,3,Semi-Furnished,1753 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:08:24
"3BHK3BathsIndependent/Builder Floor for Rentin E Block RWA Greater Kailash 1, Greater Kailash 1, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block RWA Greater Kailash 1 Greater Kailash 1 Delhi - 1450 Sq. Ft.- 1st floor (out of 2),"₹ 85,000",₹0,N/A,Independent,N/A,3,3,2,Furnished,1450 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:08:36
"5Bedrooms5BathsFarm House for Rentin Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Vasant Kunj, DelhiShortlistProperty added to your shortlistContact DealerFREE STAT",₹ 4,N/A,N/A,Apartment/Flat,N/A,5,5,1,Semi-Furnished,8091 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:08:48
"3BHK3BathsFlat/Apartment for Rentin B1 Vasant Kunj, Sector B Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in B1 Vasant Kunj Sector B Vasant Kunj Delhi - 2000 Sq. Ft.- 1st floor (out of 3),₹ 1,₹0,N/A,Apartment/Flat,N/A,3,3,2,Semi-Furnished,2000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:08:58
"4BHK4BathsIndependent/Builder Floor for Rentin Greater Kailash 2, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyMarble FlooringView 10 More Visitor Parking AvailableOn-Call Maintenance StaffFeng Shui/ Vaas,₹ 2.3,₹0,N/A,Independent,N/A,4,4,2,Furnished,2700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:09:13
"4BHK4BathsIndependent/Builder Floor for Rentin Vasant Vihar, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block MarketGurudwara SahibMunir khan tombGurudwaraState bank of india ATMCGHS Dispensary R.K.Puram ,₹ 4,₹0,"₹ 8,00,000",Independent,N/A,4,4,3,N/A,3000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:09:26
"1RK1BathStudio Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharStudio Apartments for rent in Tagore GardenStudio Apartments for re,Flat Flats for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 361 Sq. Ft.- 3rd floor (out of ,"₹ 23,000",₹0,"₹ 46,000",Apartment/Flat,N/A,1,1,N/A,Furnished,361 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:09:35
"3BHK3BathsIndependent/Builder Floor for Rentin Janakpuri, West Delhi","Paschim Vihar, DelhiEnquire NowContact NowVerifiedSandeep Kumar (Dealer) 08th Se",RWA (+250)BLM (+590)SHN (+290)KNA (+1869)LCA (+1758)MAF (+1599)SPM (+508)VCT (+1784)WSM (+685)SMR (+,"₹ 65,000",₹0,N/A,Independent,N/A,3,3,1,Semi-Furnished,1500 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:09:50
"3BHK3BathsFlat/Apartment for Rentin DDA B5 and 6 Block D, Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA B5 and 6 Block D Vasant Kunj Delhi - 1800 Sq. Ft.- 1st floor (out of 3),₹ 1,₹0,N/A,Apartment/Flat,N/A,3,3,2,Semi-Furnished,1800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:10:04
"3BHK3BathsIndependent/Builder Floor for Rentin Safdarjung Enclave RWA, Safdarjung Enclave, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",RWA Safdarjung Enclave Delhi - 1700 Sq. Ft.- Ground floor (out of 4),₹ 1.2,₹0,N/A,Independent,N/A,3,3,1,Furnished,1700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:10:17
"3BHK2BathsFlat/Apartment for Rentin premium Society , Mayur Vihar Phase 1 Extension, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Mayur Vihar Phase 1 Extension Delhi - 1700 Sq. Ft.- 2nd floor (out of 7),"₹ 75,000",₹0,"₹ 1,50,000",Apartment/Flat,N/A,3,2,2,Furnished,1700 sq.ft,01 Nov,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:10:30
"4BHK4BathsFlat/Apartment for Rentin Vatika Apartment, Sector C Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Vatika Apartment Sector C Vasant Kunj Delhi - 2000 Sq. Ft.- 1st floor (out of 4),₹ 2,₹0,N/A,Apartment/Flat,N/A,4,4,2,Unfurnished,2000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:10:39
"4BHK4BathsFlat/Apartment for Rentin C BLOCK VASANT KUNJ, Sector C Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Sector C Vasant Kunj Delhi - 2100 Sq. Ft.- Ground floor (out of 3),"₹ 85,000",₹0,N/A,Apartment/Flat,N/A,4,4,2,Furnished,2100 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:10:49
"3BHK4BathsIndependent/Builder Floor for Rentin South Delhi Premium Builder Floors, Defence Colony, South Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyDealer DetailsExplore LocalityRecommendationsArticlesHome›Property for rent in Delhi / NCR›Pr,₹ 2.85,N/A,N/A,Independent,N/A,3,4,N/A,Furnished,2925 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:11:03
"9Bedrooms10BathsIndependent House/Villa for Rentin Defence Colony Villas, Defence Colony, South Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",House / Villa for rent in Defence Colony Villas Defence Colony South Delhi - 2700 Sq. Ft.,₹ 8.5,N/A,N/A,Independent,N/A,9,10,N/A,N/A,2700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:11:18
"4BHK4BathsIndependent/Builder Floor for Rentin SDA, Safdarjung Development Area, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyCorner PropertyFeng Shui/ Vaastu CompliantAiry RoomsParking AvailableModular KitchenFitness C,₹ 3,N/A,"₹ 6,00,000",Independent,N/A,4,4,2,Furnished,4050 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:11:31
"4BHK4BathsIndependent/Builder Floor for Rentin RWA Greater Kailash 2, Greater Kailash 2, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",RWA Greater Kailash 2 Greater Kailash 2 Delhi - 2700 Sq. Ft.- 1st floor (out of 4),₹ 1.7,N/A,"₹ 3,40,000",Independent,N/A,4,4,2,Furnished,2700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:11:44
