Property_Title,Location,Address,Price,Rate_per_sqft,Deposit,Property_Type,Room_Type,Bedrooms,Bathrooms,Balconies,Furnishing,Carpet_Area,Available_From,Available_For,Posted_By,Posted_Date,Rating,Nearby_Places,Scraped_Date
"3BHK2BathsFlat/Apartment for Rentin CGHS Janaki Apartments, Sector 22 Dwarka, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in CGHS Janaki Apartments Sector 22 Dwarka Delhi - 1600 Sq. Ft.- 1st floor (out of 8),"₹ 36,000",₹0,"₹ 72,000",Apartment/Flat,N/A,3,2,3,Semi-Furnished,1600 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:01:11
"3BHK3BathsIndependent/Builder Floor for Rentin RWA Saket Block G, Saket, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",RWA Saket Block G Saket Delhi - 1800 Sq. Ft.- 1st floor (out of 4),₹ 1,₹0,"₹ 2,00,000",Independent,N/A,3,3,2,Furnished,1800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:01:34
"1BHK2BathsFlat/Apartment for Rentin DDA Kaveri Apartments, Sector D Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Kaveri Apartments Sector D Vasant Kunj Delhi - 581 Sq. Ft.- 3rd floor (out of 5,"₹ 27,000",₹0,N/A,Apartment/Flat,N/A,1,2,1,Semi-Furnished,581 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:01:45
"3BHK3BathsIndependent/Builder Floor for Rentin Nangal Dewat, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyEast FacingView 9 More Wheel Chair FriendlyPet FriendlyVisitor Parking AvailableOn-Call Maint,₹ 1.4,₹0,N/A,Independent,N/A,3,3,1,N/A,1800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:01:58
"3BHK3BathsIndependent/Builder Floor for Rentin Bali Nagar, Delhi",Paschim ViharBuilder Floor for rent in Virender NagarBuilder Floor for rent in P,"Block WZ, Basai Dara pur, Moti Nagar,, West DelhiSend enquiry to DealerYou are Individual DealerIND ","₹ 65,000",₹0,N/A,Independent,N/A,3,3,2,Furnished,1700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:02:13
"3BHK3BathsFlat/Apartment for Rentin Capital Apartments, Nasirpur, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Capital Apartments Nasirpur Delhi - 2102 Sq. Ft.- 4th floor (out of 14),"₹ 65,000",N/A,N/A,Apartment/Flat,N/A,3,3,3,Furnished,2102 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:02:23
"4Bedrooms4BathsFarm House for Rentin Sultanpur, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Sultanpur, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERMember Since Aug, 201",₹ 6.5,N/A,N/A,Apartment/Flat,N/A,4,4,N/A,N/A,21780 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:02:33
"1RK1BathStudio Apartment for Rentin DDA Flats, Saket, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat Flats for rent in DDA Flats Saket Delhi - 500 Sq. Ft.- 4th floor (out of 4),"₹ 28,000",₹0,N/A,Apartment/Flat,N/A,1,1,1,Furnished,500 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:02:46
"5Bedrooms5BathsFarm House for Rentin Ansal Satbari, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Ansal Satbari, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERMember Since Aug,",₹ 12,N/A,"₹ 48,00,000",Apartment/Flat,N/A,5,5,N/A,N/A,43560 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:02:59
"3BHK4BathsFlat/Apartment for Rentin DLF One Midtown, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF One Midtown Moti Nagar Delhi - 2300 Sq. Ft.- 6th floor (out of 39),₹ 1.45,₹0,N/A,Apartment/Flat,N/A,3,4,1,Furnished,2300 sq.ft,30 Oct,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:03:08
"6Bedrooms7BathsFarm House for Rentin LUXURY FARMHOUSE, Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in LUXURY FARMHOUSE, Vasant Kunj, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERM",₹ 10,N/A,"₹ 40,00,000",Apartment/Flat,N/A,6,7,N/A,N/A,108901 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:03:21
"5Bedrooms7BathsFarm House for Rentin Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Vasant Kunj, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERMember Since Aug, 2",₹ 10,N/A,"₹ 30,00,000",Apartment/Flat,N/A,5,7,N/A,Furnished,21780 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:03:33
"3BHK3BathsFlat/Apartment for Rentin DLF One Midtown, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF One Midtown Moti Nagar Delhi - 2400 Sq. Ft.- 12th floor (out of 39),₹ 1.22,₹0,"₹ 2,70,000",Apartment/Flat,N/A,3,3,3,Furnished,2400 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:03:45
"4BHK5BathsFlat/Apartment for Rentin DDA Flats Sector B Pocket 10, Pocket 10 Sector-B vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Flats Sector B Pocket 10 Pocket 10 Sector-B vasant Kunj Delhi - 2200 Sq. Ft.- G,₹ 1.25,₹0,N/A,Apartment/Flat,N/A,4,5,2,Furnished,2200 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:03:57
"5Bedrooms4BathsFarm House for Rentin Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Vasant Kunj, DelhiDev Properties and Legal ConsultantsDev Properties and Legal Con",₹ 6,N/A,N/A,Apartment/Flat,N/A,5,4,N/A,Furnished,54451 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 18:04:10
