Property_Title,Location,Address,Price,Rate_per_sqft,Deposit,Property_Type,Room_Type,Bedrooms,Bathrooms,Balconies,Furnishing,Carpet_Area,Available_From,Available_For,Posted_By,Posted_Date,Rating,Nearby_Places,Scraped_Date
"3BHK4BathsFlat/Apartment for Rentin DLF One Midtown, Moti Nagar, Delhi",Paschim ViharFlats for rent in Tagore GardenFlats for rent in Hari NagarFlats fo,Flat for rent in DLF One Midtown Moti Nagar Delhi - 2300 Sq. Ft.- 6th floor (out of 39),₹ 1.45,₹0,N/A,Apartment/Flat,N/A,3,4,1,Furnished,2300 sq.ft,30 Oct,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:01:43
"6Bedrooms7BathsFarm House for Rentin LUXURY FARMHOUSE, Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in LUXURY FARMHOUSE, Vasant Kunj, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERM",₹ 10,N/A,"₹ 40,00,000",Apartment/Flat,N/A,6,7,N/A,N/A,108901 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:01:55
"5Bedrooms7BathsFarm House for Rentin Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Vasant Kunj, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERMember Since Aug, 2",₹ 10,N/A,"₹ 30,00,000",Apartment/Flat,N/A,5,7,N/A,Furnished,21780 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:02:05
"4BHK5BathsFlat/Apartment for Rentin DDA Flats Sector B Pocket 10, Pocket 10 Sector-B vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Flats Sector B Pocket 10 Pocket 10 Sector-B vasant Kunj Delhi - 2200 Sq. Ft.- G,₹ 1.25,₹0,N/A,Apartment/Flat,N/A,4,5,2,Furnished,2200 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:02:16
"5Bedrooms4BathsFarm House for Rentin Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Vasant Kunj, DelhiDev Properties and Legal ConsultantsDev Properties and Legal Con",₹ 6,N/A,N/A,Apartment/Flat,N/A,5,4,N/A,Furnished,54451 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:02:27
"1BHK1BathIndependent/Builder Floor for Rentin Paryavaran Complex, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyWheel Chair FriendlyView 8 More Pet FriendlyVisitor Parking AvailableOn-Call Maintenance Staf,"₹ 26,000",₹0,N/A,Independent,N/A,1,1,2,Furnished,551 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:02:37
"3BHK3BathsIndependent/Builder Floor for Rentin Defence Colony, South Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyCorner PropertyVitrified FlooringView 7 More Wheel Chair FriendlyVisitor Parking AvailableOn-,₹ 3,₹0,N/A,Independent,N/A,3,3,2,Semi-Furnished,2853 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:02:47
"3BHK3BathsIndependent/Builder Floor for Rentin Block C Defence Colony, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block C Defence Colony Delhi - 2000 Sq. Ft.- 3rd floor (out of 4),₹ 2.5,₹0,N/A,Independent,N/A,3,3,N/A,Semi-Furnished,2000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:02:59
"2BHK2BathsIndependent/Builder Floor for Rentin Ramesh Nagar, Delhi","Paschim Vihar, DelhiEnquire NowContact NowAshwani (Owner) 07th Oct, 2025 ₹ 32,00",SocietyMarble FlooringView 1 More Parking AvailableFloor Number:Ground of 3 FloorsFlooring:MarbleGat,"₹ 39,000",N/A,N/A,Independent,N/A,2,2,2,Unfurnished,900 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:03:09
"2BHK2BathsIndependent/Builder Floor for Rentin RWA C4 Block Janakpuri, Janakpuri, West Delhi","Paschim Vihar, DelhiEnquire NowContact Now>Properties posted by Owners  <Nitin A",RWA C4 Block Janakpuri Janakpuri West Delhi - 720 Sq. Ft.- Ground floor (out of 4),"₹ 36,000",N/A,"₹ 72,000",Independent,N/A,2,2,2,Semi-Furnished,720 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:03:19
"4BHK4BathsIndependent/Builder Floor for Rentin c2 block Janakpuri , Janakpuri, West Delhi","Paschim Vihar, DelhiEnquire NowContact NowVerifiedRajesh Kumar (Dealer) 09th Sep",SocietyMarble FlooringVisitor Parking AvailableView 5 More On-Call Maintenance StaffFeng Shui/ Vaast,"₹ 71,000",N/A,"₹ 1,42,000",Independent,N/A,4,4,2,Semi-Furnished,2025 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:03:30
"3BHK4BathsFlat/Apartment for Rentin DLF One Midtown, Moti Nagar, Delhi",Paschim ViharFlats for rent in Tagore GardenFlats for rent in Hari NagarFlats fo,Flat for rent in DLF One Midtown Moti Nagar Delhi - 2400 Sq. Ft.- 25th floor (out of 39),₹ 1.25,₹0,"₹ 2,56,000",Apartment/Flat,N/A,3,4,3,Semi-Furnished,2400 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:03:41
"1BHK1BathIndependent/Builder Floor for Rentin Chattarpur, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","Block C Chhatarpur Extension,Rajpur Khurd,Chattarpur Enclave Phase 1,Ch...MoreAbout Ayyansh Real Est","₹ 12,000",₹0,N/A,Independent,N/A,1,1,1,Furnished,450 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:03:52
"5Bedrooms6BathsFarm House for Rentin Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Vasant Kunj, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERMember Since Aug, 2",₹ 6,N/A,"₹ 18,00,000",Apartment/Flat,N/A,5,6,N/A,Furnished,9000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:04:02
"4BHK4BathsIndependent/Builder Floor for Rentin 478 yards brand new floor 4bhk, South Extension 2, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",RWA (+250)BLM (+590)SHN (+290)KNA (+1869)LCA (+1758)MAF (+1599)SPM (+508)VCT (+1784)WSM (+685)SMR (+,₹ 2.5,N/A,N/A,Independent,N/A,4,4,3,Semi-Furnished,4302 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:04:11
"4BHK5BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 2500 Sq. Ft.- 11th floor (out of 26),₹ 1.25,₹0,"₹ 2,60,000",Apartment/Flat,N/A,4,5,N/A,Semi-Furnished,2500 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:04:22
"3BHK4BathsFlat/Apartment for Rentin N Block Saket RWA, Saket, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in N Block Saket RWA Saket Delhi - 1400 Sq. Ft.- 1st floor (out of 1),₹ 1.1,₹0,₹ 2,Independent,N/A,3,4,3,Furnished,1400 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:04:33
"3BHK3BathsIndependent/Builder Floor for Rentin Shivalik Apartments, Malviya Nagar, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyView 10 More Wheel Chair FriendlyPet FriendlyVisitor Parking AvailableOn-Call Maintenance Sta,₹ 1.15,₹0,₹ 2,Independent,N/A,3,3,2,Furnished,1800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:04:44
"2BHK2BathsIndependent/Builder Floor for Rentin Defence Colony, South Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyNatural LightAiry RoomsSpacious InteriorsParking AvailableModular KitchenFitness Center/ GymC,₹ 2.5,₹0,N/A,Independent,N/A,2,2,1,Furnished,1400 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:04:55
"1RK1BathStudio Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharStudio Apartments for rent in South Patel NagarStudio Apartments fo,Flat Flats for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 361 Sq. Ft.- 3rd floor (out of ,"₹ 23,000",₹0,"₹ 46,000",Apartment/Flat,N/A,1,1,N/A,Furnished,361 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:05:05
"2BHK2BathsIndependent/Builder Floor for Rentin Neb Sarai, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyFitness Center/ GymWheel Chair FriendlyView 9 More Pet FriendlyVisitor Parking AvailableOn-Ca,"₹ 35,000",₹0,N/A,Independent,N/A,2,2,1,Furnished,900 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:05:16
"3BHK3BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharFlats for rent in Tagore GardenFlats for rent in Hari NagarFlats fo,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1753 Sq. Ft.- 16th floor (out of 26),"₹ 59,500",₹0,"₹ 1,19,000",Apartment/Flat,N/A,3,3,3,Furnished,1753 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:05:26
"3BHK2BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharFlats for rent in Tagore GardenFlats for rent in Hari NagarFlats fo,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1580 Sq. Ft.- 16th floor (out of 30),"₹ 57,000",₹0,"₹ 1,10,000",Apartment/Flat,N/A,3,2,3,Furnished,1580 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:05:38
"4BHK5BathsIndependent/Builder Floor for Rentin East of Kailash, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",HouseDhabaYuzuThe Irish HouseNando'sTaco BellLord of the Drinks ForumChaayosCafe Coffee DayCrackpot ,₹ 2,₹0,N/A,Independent,N/A,4,5,2,N/A,2700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:05:49
"3BHK3BathsFlat/Apartment for Rentin DLF One Midtown, Moti Nagar, Delhi",Paschim ViharFlats for rent in Tagore GardenFlats for rent in Hari NagarFlats fo,Flat for rent in DLF One Midtown Moti Nagar Delhi - 2278 Sq. Ft.- 20th floor (out of 39),₹ 1.45,₹0,"₹ 2,90,000",Apartment/Flat,N/A,3,3,2,Furnished,2278 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:06:00
"3BHK2BathsFlat/Apartment for Rentin Saraswati Narmada Ganga Yamuna Apartment, Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Saraswati Narmada Ganga Yamuna Apartment Vasant Kunj Delhi - 1800 Sq. Ft.- 2nd floo,"₹ 65,000",₹0,"₹ 1,30,000",Apartment/Flat,N/A,3,2,3,N/A,1800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:06:11
"1RK1BathStudio Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim ViharStudio Apartments for rent in South Patel NagarStudio Apartments fo,Flat Flats for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 361 Sq. Ft.- 2nd floor (out of ,"₹ 26,000",₹0,N/A,Apartment/Flat,N/A,1,1,N/A,Furnished,361 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:06:23
"3BHK3BathsIndependent/Builder Floor for Rentin Freedom Fighter Enclave, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyFitness Center/ GymWheel Chair FriendlyView 9 More Pet FriendlyVisitor Parking AvailableOn-Ca,"₹ 42,000",₹0,"₹ 42,000",Independent,N/A,3,3,1,Furnished,1300 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:06:33
"3BHK2BathsIndependent/Builder Floor for Rentin Chattarpur, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyVitrified FlooringPet FriendlyView 6 More Visitor Parking AvailableOn-Call Maintenance StaffF,"₹ 32,000",₹0,"₹ 32,000",Independent,N/A,3,2,2,Semi-Furnished,1200 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:06:44
"3BHK2BathsFlat/Apartment for Rentin DDA Flats Sarita Vihar, Sarita Vihar, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Flats Sarita Vihar Sarita Vihar Delhi - 1800 Sq. Ft.- 2nd floor (out of 4),"₹ 38,500",₹0,"₹ 75,000",Apartment/Flat,N/A,3,2,2,Furnished,1800 sq.ft,01 Nov,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:06:54
"3BHK2BathsFlat/Apartment for Rentin DDA Flats Sarita Vihar, Sarita Vihar, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Flats Sarita Vihar Sarita Vihar Delhi - 1800 Sq. Ft.- 2nd floor (out of 4),"₹ 41,000",₹0,"₹ 82,000",Apartment/Flat,N/A,3,2,2,Furnished,1800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:07:04
"3BHK3BathsIndependent/Builder Floor for Rentin Greater Kailash 1, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyView 10 More Wheel Chair FriendlyPet FriendlyVisitor Parking AvailableCorner PropertyNatural ,₹ 1.45,N/A,N/A,Independent,N/A,3,3,2,Furnished,2385 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:07:14
"4BHK3BathsFlat/Apartment for Rentin DDA Flats Sector C Pocket 2, Sector C Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Flats Sector C Pocket 2 Sector C Vasant Kunj Delhi - 2000 Sq. Ft.- 1st floor (o,"₹ 90,000",₹0,N/A,Apartment/Flat,N/A,4,3,3,Semi-Furnished,2000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:07:24
"4BHK4BathsIndependent/Builder Floor for Rentin Block D Vasant Vihar, South Delhi, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block D Vasant Vihar South Delhi - 5400 Sq. Ft.- Ground floor (out of 4),₹ 5,₹0,"₹ 10,00,000",Independent,N/A,4,4,2,Unfurnished,5400 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:07:35
"3BHK3BathsIndependent/Builder Floor for Rentin E Block RWA Greater Kailash 1, Greater Kailash 1, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block RWA Greater Kailash 1 Greater Kailash 1 Delhi - 1450 Sq. Ft.- 1st floor (out of 2),"₹ 85,000",₹0,N/A,Independent,N/A,3,3,2,Furnished,1450 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:07:44
"1BHK1BathFlat/Apartment for Rentin DDA Flats Sarita Vihar, Sarita Vihar, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Flats Sarita Vihar Sarita Vihar Delhi - 650 Sq. Ft.- 2nd floor (out of 4),"₹ 21,000",₹0,"₹ 21,000",Apartment/Flat,N/A,1,1,1,Furnished,650 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:07:55
"5Bedrooms5BathsFarm House for Rentin Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Vasant Kunj, DelhiShortlistProperty added to your shortlistContact DealerFREE STAT",₹ 4,N/A,N/A,Apartment/Flat,N/A,5,5,1,Semi-Furnished,8091 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:08:06
"1BHK1BathIndependent/Builder Floor for Rentin Freedom Fighter Enclave, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyVitrified FlooringWheel Chair FriendlyPet FriendlyView 5 More Visitor Parking AvailableOn-Cal,"₹ 20,000",₹0,"₹ 20,000",Independent,N/A,1,1,N/A,Semi-Furnished,500 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:08:15
"2BHK2BathsIndependent/Builder Floor for Rentin Preet Vihar, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyGround FloorClose to Metro StationClose to MarketView 8 More North-East FacingVisitor Parking,"₹ 45,000",₹0,N/A,Independent,N/A,2,2,2,Semi-Furnished,1500 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:08:26
"2BHK1BathIndependent/Builder Floor for Rentin Chattarpur, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","Block C Chhatarpur Extension,Rajpur Khurd,Chattarpur Enclave Phase 1,Ch...MoreAbout Ayyansh Real Est","₹ 15,000",₹0,N/A,Independent,N/A,2,1,N/A,Unfurnished,750 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:08:36
"3BHK3BathsFlat/Apartment for Rentin B1 Vasant Kunj, Sector B Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in B1 Vasant Kunj Sector B Vasant Kunj Delhi - 2000 Sq. Ft.- 1st floor (out of 3),₹ 1,₹0,N/A,Apartment/Flat,N/A,3,3,2,Semi-Furnished,2000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:08:47
"4BHK4BathsIndependent/Builder Floor for Rentin Vasant Vihar, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block MarketGurudwara SahibMunir khan tombGurudwaraState bank of india ATMCGHS Dispensary R.K.Puram ,₹ 4,₹0,"₹ 8,00,000",Independent,N/A,4,4,3,N/A,3000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:08:57
