Property_Title,Location,Address,Price,Rate_per_sqft,Deposit,Property_Type,Room_Type,Bedrooms,Bathrooms,Balconies,Furnishing,Carpet_Area,Available_From,Available_For,Posted_By,Posted_Date,Rating,Nearby_Places,Scraped_Date
"3BHK2BathsFlat/Apartment for Rentin CGHS Shubham Apartments, Sector 22 Dwarka, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in CGHS Shubham Apartments Sector 22 Dwarka Delhi - 1650 Sq. Ft.- 3rd floor (out of 8),"₹ 40,000",₹0,N/A,Apartment/Flat,N/A,3,2,3,Semi-Furnished,1650 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 15:59:49
"1BHK1BathIndependent/Builder Floor for Rentin Patel Nagar, Delhi",Paschim ViharBuilder Floor for rent in Virender NagarBuilder Floor for rent in P,RWA (+250)BLM (+590)SHN (+290)KNA (+1869)LCA (+1758)MAF (+1599)SPM (+508)VCT (+1784)WSM (+685)SMR (+,"₹ 18,000",₹0,N/A,Independent,N/A,1,1,1,Furnished,875 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:00:07
"2BHK2BathsFlat/Apartment for Rentin DDA MIG FLATS, Mayur Vihar Phase 2, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA MIG FLATS Mayur Vihar Phase 2 Delhi - 1001 Sq. Ft.- 3rd floor (out of 4),"₹ 30,000",₹0,N/A,Apartment/Flat,N/A,2,2,1,Semi-Furnished,1001 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:00:17
"1BHK2BathsFlat/Apartment for Rentin DDA Kaveri Apartments, Sector D Vasant Kunj, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Kaveri Apartments Sector D Vasant Kunj Delhi - 581 Sq. Ft.- 3rd floor (out of 5,"₹ 27,000",₹0,N/A,Apartment/Flat,N/A,1,2,1,Semi-Furnished,581 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:00:29
"3BHK3BathsIndependent/Builder Floor for Rentin Nangal Dewat, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyEast FacingView 9 More Wheel Chair FriendlyPet FriendlyVisitor Parking AvailableOn-Call Maint,₹ 1.4,₹0,N/A,Independent,N/A,3,3,1,N/A,1800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:00:40
"4Bedrooms4BathsFarm House for Rentin Sultanpur, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Sultanpur, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERMember Since Aug, 201",₹ 6.5,N/A,N/A,Apartment/Flat,N/A,4,4,N/A,N/A,21780 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:00:51
"3BHK3BathsFlat/Apartment for Rentin Capital Apartments, Nasirpur, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Capital Apartments Nasirpur Delhi - 2102 Sq. Ft.- 4th floor (out of 14),"₹ 65,000",N/A,N/A,Apartment/Flat,N/A,3,3,3,Furnished,2102 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:01:02
"5Bedrooms5BathsFarm House for Rentin Ansal Satbari, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Ansal Satbari, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERMember Since Aug,",₹ 12,N/A,"₹ 48,00,000",Apartment/Flat,N/A,5,5,N/A,N/A,43560 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:01:12
"3BHK3BathsFlat/Apartment for Rentin DLF One Midtown, Moti Nagar, Delhi",Paschim ViharFlats for rent in Tagore GardenFlats for rent in Hari NagarFlats fo,Flat for rent in DLF One Midtown Moti Nagar Delhi - 2400 Sq. Ft.- 12th floor (out of 39),₹ 1.22,₹0,"₹ 2,70,000",Apartment/Flat,N/A,3,3,3,Furnished,2400 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:01:22
"1RK1BathStudio Apartment for Rentin DDA Flats, Saket, Delhi","West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat Flats for rent in DDA Flats Saket Delhi - 500 Sq. Ft.- 4th floor (out of 4),"₹ 28,000",₹0,N/A,Apartment/Flat,N/A,1,1,1,Furnished,500 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 16:01:33
