Property_Title,Location,Address,Price,Rate_per_sqft,Deposit,Property_Type,Room_Type,Bedrooms,Bathrooms,Balconies,Furnishing,Carpet_Area,Available_From,Available_For,Posted_By,Posted_Date,Rating,Nearby_Places,Scraped_Date
"1RK1BathStudio Apartment for Rentin RWA Chittaranjan Park Block A, CR Park, Delhi",West Delhi,Flat Flats for rent in RWA Chittaranjan Park Block A CR Park Delhi - 375 Sq. Ft.- 3rd floor (out of ,"₹
 
22,500",₹0,N/A,Apartment/Flat,N/A,1,1,1,Semi-Furnished,375 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 14:51:04
"3BHK3BathsFlat/Apartment for Rentin Bahawalpur Biradari Apartments, Sector 6 Dwarka, Delhi",West Delhi,Flat for rent in Bahawalpur Biradari Apartments Sector 6 Dwarka Delhi - 1700 Sq. Ft.- 5th floor (out,"₹
 
55,000",₹0,N/A,Apartment/Flat,N/A,3,3,3,Furnished,1700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 14:51:21
"4BHK4BathsIndependent/Builder Floor for Rentin Janakpuri , A1 Block Janakpuri, Delhi",Paschim Vihar,Block Janakpuri Delhi - 2702 Sq. Ft.- 4th floor (out of 4),"₹
 
80,000",₹0,N/A,Independent,N/A,4,4,2,N/A,2702 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 14:51:32
"1RK1BathStudio Apartment for Rentin DDA Flats Sarita Vihar, Sarita Vihar, Delhi",West Delhi,Flat Flats for rent in DDA Flats Sarita Vihar Sarita Vihar Delhi - 250 Sq. Ft.- Ground floor (out of,"₹
 
21,500",₹0,N/A,Apartment/Flat,N/A,3,1,1,Furnished,250 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 14:51:47
"3BHK3BathsFlat/Apartment for Rentin CGHS Airlines Apartments, Sector 23 Dwarka, Delhi",West Delhi,Flat for rent in CGHS Airlines Apartments Sector 23 Dwarka Delhi - 1700 Sq. Ft.- 6th floor (out of 8,"₹
 
45,000",₹0,"₹ 90,000",Apartment/Flat,N/A,3,3,3,Semi-Furnished,1700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 14:52:01
"3Bedrooms3BathsIndependent House/Villa for Rentin Block B Kailash Colony, Delhi",West Delhi,House / Villa for rent in Block B Kailash Colony Delhi - 4500 Sq. Ft.,"₹
 
1.5",N/A,N/A,Independent,N/A,3,3,2,Furnished,4500 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 14:52:16
"2BHK2BathsFlat/Apartment for Rentin DDA Flats Mayur Vihar, Mayur Vihar Phase 1, Delhi",West Delhi,Flat for rent in DDA Flats Mayur Vihar Mayur Vihar Phase 1 Delhi - 1450 Sq. Ft.- 2nd floor (out of 4,"₹
 
41,000",₹0,"₹ 41,000",Apartment/Flat,N/A,2,2,2,Semi-Furnished,1450 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 14:52:29
"3BHK3BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi","west delhi's most popular projects, dlf capital greens 1 and 2. This 3 bhk flat ",Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1550 Sq. Ft.- 1st floor (out of 26),"₹
 
70,000",₹0,"₹ 1,40,000",Apartment/Flat,N/A,3,3,3,Furnished,1550 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 14:52:40
"3BHK3BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",Paschim Vihar,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1753 Sq. Ft.- 24th floor (out of 26),"₹
 
58,000",₹0,N/A,Apartment/Flat,N/A,3,3,3,Semi-Furnished,1753 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 14:52:52
"4BHK4BathsIndependent/Builder Floor for Rentin Corner, Park view , Saket, Delhi",West Delhi,RWA (+250),"₹
 
1.6",₹0,N/A,Independent,N/A,4,4,3,Furnished,2700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-18 14:53:05
