Property_Title,Property_URL,Location,Address,Price,Rate_per_sqft,Deposit,Property_Type,Room_Type,Bedrooms,Bathrooms,Balconies,Furnishing,Carpet_Area,Available_From,Available_For,Posted_By,Posted_Date,Rating,Nearby_Places,Scraped_Date
"6Bedrooms7BathsFarm House for Rentin LUXURY FARMHOUSE, Vasant Kunj, Delhi",https://www.99acres.com/6-bhk-bedroom-farm-house-for-rent-in-vasant-kunj-south-delhi-108901-sq-ft-r2-spid-J69967096,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in LUXURY FARMHOUSE, Vasant Kunj, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERM",₹ 10,N/A,"₹ 40,00,000",Apartment/Flat,N/A,6,7,N/A,N/A,108901 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:09:11
"5Bedrooms7BathsFarm House for Rentin Vasant Kunj, Delhi",https://www.99acres.com/5-bhk-bedroom-farm-house-for-rent-in-vasant-kunj-south-delhi-21780-sq-ft-r1-spid-F76047373,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Vasant Kunj, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERMember Since Aug, 2",₹ 10,N/A,"₹ 30,00,000",Apartment/Flat,N/A,5,7,N/A,Furnished,21780 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:09:20
"3BHK3BathsFlat/Apartment for Rentin DLF One Midtown, Moti Nagar, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dlf-one-midtown-moti-nagar-west-delhi-2400-sq-ft-spid-S85316692,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF One Midtown Moti Nagar Delhi - 2400 Sq. Ft.- 12th floor (out of 39),₹ 1.22,₹0,"₹ 2,70,000",Apartment/Flat,N/A,3,3,3,Furnished,2400 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:09:29
"4BHK5BathsFlat/Apartment for Rentin DDA Flats Sector B Pocket 10, Pocket 10 Sector-B vasant Kunj, Delhi",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-rent-in-dda-flats-sector-b-pocket-10-pocket-10-sector-b-vasant-kunj-south-delhi-2200-sq-ft-spid-G85550616,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Flats Sector B Pocket 10 Pocket 10 Sector-B vasant Kunj Delhi - 2200 Sq. Ft.- G,₹ 1.25,₹0,N/A,Apartment/Flat,N/A,4,5,2,Furnished,2200 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:09:38
"5Bedrooms4BathsFarm House for Rentin Vasant Kunj, Delhi",https://www.99acres.com/5-bhk-bedroom-farm-house-for-rent-in-vasant-kunj-south-delhi-54451-sq-ft-spid-T83916604,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Vasant Kunj, DelhiDev Properties and Legal ConsultantsDev Properties and Legal Con",₹ 6,N/A,N/A,Apartment/Flat,N/A,5,4,N/A,Furnished,54451 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:09:48
"3BHK3BathsIndependent/Builder Floor for Rentin Defence Colony, South Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-defence-colony-south-delhi-2853-sq-ft-spid-T84392402,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyCorner PropertyVitrified FlooringView 7 More Wheel Chair FriendlyVisitor Parking AvailableOn-,₹ 3,₹0,N/A,Independent,N/A,3,3,2,Semi-Furnished,2853 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:09:56
"3BHK3BathsIndependent/Builder Floor for Rentin Block C Defence Colony, Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-block-c-defence-colony-south-delhi-2000-sq-ft-spid-L84448728,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block C Defence Colony Delhi - 2000 Sq. Ft.- 3rd floor (out of 4),₹ 2.5,₹0,N/A,Independent,N/A,3,3,N/A,Semi-Furnished,2000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:10:06
"4BHK4BathsIndependent/Builder Floor for Rentin c2 block Janakpuri , Janakpuri, West Delhi",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-rent-in-janakpuri-west-delhi-2025-sq-ft-spid-M84086084,"Paschim Vihar, DelhiEnquire NowContact NowVerifiedSandeep Kumar (Dealer) 28th Se",SocietyMarble FlooringVisitor Parking AvailableView 5 More On-Call Maintenance StaffFeng Shui/ Vaast,"₹ 71,000",N/A,"₹ 1,42,000",Independent,N/A,4,4,2,Semi-Furnished,2025 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:10:15
"5Bedrooms6BathsFarm House for Rentin Bandh Road, South Delhi, Delhi",https://www.99acres.com/5-bhk-bedroom-farm-house-for-rent-in-bandh-road-south-delhi-43560-sq-ft-spid-K84787666,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Bandh Road, South Delhi, DelhiShekhawat PropertiesNarender ShekhawatFEATURED DEALE",₹ 17,N/A,N/A,N/A,N/A,5,6,N/A,Furnished,43560 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:10:24
"5Bedrooms6BathsFarm House for Rentin Vasant Kunj, Delhi",https://www.99acres.com/5-bhk-bedroom-farm-house-for-rent-in-vasant-kunj-south-delhi-9000-sq-ft-r1-spid-N77068285,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:","House for Rent in Vasant Kunj, DelhiDivine Frank RealtyAman KapoorFEATURED DEALERMember Since Aug, 2",₹ 6,N/A,"₹ 18,00,000",Apartment/Flat,N/A,5,6,N/A,Furnished,9000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:10:34
